1,Eric,100,100,100,300,100.00,1
2,Hina,79,93,88,260,86.67,10
3,Nicky,82,83,98,263,87.67,7
4,Eula,67,75,77,219,73.00,38
5,Rei,66,85,100,251,83.67,18
6,Eleven,100,69,70,239,79.67,23
7,Jeanne,66,53,91,210,70.00,40
8,Jessie,71,52,98,221,73.67,35
9,Sandie,58,64,76,198,66.00,45
10,Harriot,78,79,91,248,82.67,21
11,Corri,79,86,93,258,86.00,13
12,Alice,67,80,89,236,78.67,25
13,Teodoro,60,85,55,200,66.67,44
14,Cedric,99,92,60,251,83.67,18
15,Debi,77,94,83,254,84.67,15
16,Alana,100,85,84,269,89.67,4
17,Rhys,100,94,90,284,94.67,2
18,Ruy,67,68,100,235,78.33,26
19,Martino,79,83,91,253,84.33,16
20,Berti,95,56,69,220,73.33,37
21,Korney,96,76,93,265,88.33,5
22,Hodu,50,88,69,207,69.00,41
23,Sophia,96,64,63,223,74.33,34
24,Rose,66,71,87,224,74.67,33
25,Zulema,68,58,100,226,75.33,31
26,Orelia,70,98,89,257,85.67,14
27,Isaac,62,97,85,244,81.33,22
28,Noni,85,92,72,249,83.00,20
29,Karl,77,58,100,235,78.33,26
30,Anatol,63,73,52,188,62.67,48
31,Marjy,83,86,57,226,75.33,31
32,Maddy,60,97,76,233,77.67,28
33,Jarid,90,99,89,278,92.67,3
34,Cecelia,83,79,70,232,77.33,29
35,Joletta,58,68,60,186,62.00,49
36,Pyotr,85,54,65,204,68.00,43
37,Heath,76,58,55,189,63.00,47
38,Keelia,93,87,80,260,86.67,10
39,Cahra,94,84,85,263,87.67,7
40,Rabi,89,89,59,237,79.00,24
41,Lisa,68,97,100,265,88.33,5
42,Dorise,78,95,79,252,84.00,17
43,Rozzi,55,58,55,168,56.00,50
44,Brent,78,61,58,197,65.67,46
45,Aigneis,96,99,65,260,86.67,10
46,Willis,85,81,53,219,73.00,38
47,Marlene,67,83,55,205,68.33,42
48,Lotti,79,91,51,221,73.67,35
49,Wolfie,99,65,68,232,77.33,29
50,Josias,73,98,92,263,87.67,7
